	ERR1018185	ERR1018186	ERR1018187	ERR1018188	ERR1018189	ERR1018190	ERR1018191	ERR1018192	ERR1018193	ERR1018194	ERR1018195	ERR1018196	ERR1018197	ERR1018198	ERR1018199	ERR1018200	ERR1018201	ERR1018202	ERR1018203	ERR1018204	ERR1018205	ERR1018206	ERR1018207	ERR1018208	ERR1018209	ERR1018210	ERR1018211	ERR1018212	ERR1018213	ERR1018214	ERR1018215	ERR1018216	ERR1018217	ERR1018218	ERR1018219	ERR1018220	ERR1018221	ERR1018222	ERR1018223	ERR1018224	ERR1018225	ERR1018226	ERR1018227	ERR1018228	ERR1018229	ERR1018230	ERR1018231	ERR1018232	ERR1018233	ERR1018234	ERR1018235	ERR1018236	ERR1018237	ERR1018238	ERR1018239	ERR1018240	ERR1018241	ERR1018242	ERR1018243	ERR1018244	ERR1018245	ERR1018246	ERR1018247	ERR1018248	ERR1018249	ERR1018250	ERR1018251	ERR1018252	ERR1018253	ERR1018254	ERR1018255	ERR1018256	ERR1018257	ERR1018258	ERR1018259	ERR1018260	ERR1018261	ERR1018262	ERR1018263	ERR1018264	ERR1018265	ERR1018266	ERR1018267	ERR1018268	ERR1018269	ERR1018270	ERR1018271	ERR1018272	ERR1018273	ERR1018274	ERR1018275	ERR1018276	ERR1018277	ERR1018278	ERR1018279	ERR1018280	ERR1018281	ERR1018282	ERR1018283	ERR1018284	ERR1018285	ERR1018286	ERR1018287	ERR1018288	ERR1018289	ERR1018290	ERR1018291	ERR1018292	ERR1018293	ERR1018294	ERR1018295	ERR1018296	ERR1018297	ERR1018298	ERR1018299	ERR1018300	ERR1018301	ERR1018302	ERR1018303	ERR1018304	ERR1018305	ERR1018306	ERR1018307	ERR1018308	ERR1018309	ERR1018310	ERR1018311	ERR1018312
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_sp900554205	435	167	181	52	601	75	0	10	0	11	11	401	35	64	22	134	143	28	164	0	0	25	14	32	84	0	255	1032	0	16	10	231	13	400	0	96	532	416	281	0	126	168	862	173	55	374	74	134	21	23	453	0	0	0	289	33	0	98	0	87	27	76	117	38	147	41	20	20	205	147	98	37	19	0	127	13	0	188	0	17	67	53	70	903	11	25	109	580	639	1080	158	90	16	0	0	53	261	329	0	83	206	29	0	3928	0	195	167	10	89	1020	88	0	40	36	0	0	70	37	117	118	127	0	33	70	81	220	246	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_sp900755865	685	463	115	193	97	69	44	0	225	19	422	2945	26	0	13	0	174	35	25	17	73	10	509	38	0	0	39	31	2631	0	17	56	0	419	0	2145	38	603	34	24	185	96	1710	601	120	38	3891	703	11	0	126	76	0	0	434	38	0	28	0	85	82	158	0	578	30	13	119	27	144	105	149	55	206	10	260	0	48	234	0	1545	84	114	841	308	79	14	76	565	11455	160	70	41	114	36	0	120	381	228	238	73	170	74	10	208	70	49	0	0	0	62	207	15	569	27	0	43	13	178	195	641	62	0	0	4522	22	609	301	537
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_sp900760705	16	110	40	31	0	28	78	45	0	35	0	49	30	0	44	26	57	11	28	0	0	0	0	0	19	25	30	206	0	38	19	28	90	0	0	66	281	876	1163	0	178	38	30	54	136	38	0	63	10	0	19	2875	19	18	0	84	11	14	0	13925	58	726	221	35	113	431	0	45	823	36	22	0	27	0	302	0	0	795	0	9567	0	32	37	26	0	954	52	17	2825	12468	0	23	69	24	0	19	13	45	101	418	15	10	838	61	0	73	62	61	0	65	26	773	0	140	0	0	23	242	7745	37	10	0	19	59	134	680	406	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_sp900766575	2906	19380	81	328	266	429	0	14	875	906	197	230	224	52	767	36	1317	616	54	0	37	91	79	40	53	0	107	557	0	66	161	25	80	458	37	808	536	253	661	425	387	124	270	121	294	129	426	601	31	17	574	1319	0	28	6364	418	632	263	20	825	696	472	876	1602	119	198	76	141	199	98	643	62	100	395	539	70	34	13168	206	261	664	69	1101	1202	640	317	4482	556	3367	1947	698	257	138	2152	0	261	245	1714	25	1724	26632	1799	0	523	19	1096	1656	286	13	333	143	29	50	193	161	0	749	1097	764	0	714	71	371	135	266	634	2011	15
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_sp900771995	183	35171	137	56	635	317	13	40	177	2168	100	198	311	78	412	247	1097	1586	41	0	26	736	127	91	79	0	610	2493	15	141	77	20	41	2255	56	898	65	337	687	666	297	98	406	13	474	41	715	377	57	0	486	2293	0	0	3718	441	0	115	0	367	1502	2703	1042	536	69	180	138	152	567	581	543	107	70	257	420	50	44	14783	33	736	519	14	1181	2284	2245	230	10864	887	821	847	6276	1693	124	1571	0	302	81	673	60	3841	2800	394	464	1453	42	3771	416	796	17	92	457	45	90	150	0	23	591	446	1831	54	2485	68	18	61	340	818	2814	36
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_sp900772845	209098	1912536	13076	3745	28883	58738	0	2205	118834	128671	16106	21112	39686	9291	131694	3827	152684	95617	4342	0	5797	20224	11305	4336	14081	0	18968	97228	767	14252	12100	1067	4444	70242	4215	91163	26292	10079	136062	0	52793	8614	15880	6746	3353	13076	30528	81511	7780	467	158963	196832	511	2547	741755	68446	371	35456	0	84975	204961	66860	115857	211548	11014	31389	8812	8021	66055	16434	109963	5476	13525	91135	54186	11212	6078	709219	17246	71558	193596	3083	147623	131026	84396	17945	569161	68113	230052	109082	220915	134246	21692	54353	0	41322	13966	252048	3063	438686	1258459	19428	0	82745	7181	205581	205163	26950	1824	22238	25965	4982	14346	65183	216	572	160431	184409	114987	2548	128809	6025	1544	10311	17766	124320	202408	892
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__MGYG000000621	4982	29729	337	94	497	413	0	70	2492	1502	295	479	822	1071	782	44	1614	1168	60	64	76	171	221	6457	110	0	187	1496	39	181	350	26	2033	444	69	1361	542	466	1425	155	882	76	4249	119	3362	377	423	767	76	520	1269	1790	10	112	7304	3385	284	767	0	694	2501	1121	2159	2898	187	369	159	103	986	212	914	91	665	1036	581	157	79	14889	160	903	1788	74	2526	2842	3128	634	12783	883	5201	2296	1370	1279	439	420	1321	382	408	1873	18	2892	13827	582	0	1145	50	3385	3840	192	51	316	379	111	95	372	105	10	3380	1925	2170	152	1811	102	69	220	344	1302	3163	88
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__MGYG000004203	119	32	0	23	128	0	41	0	0	12	0	0	0	0	0	194	10	16	0	0	0	14	0	0	0	0	0	32	139	0	42	0	427	32	0	178	0	116	12	0	51	69	67	0	107	84	19	25	0	63	47	11	0	0	0	11	0	20	0	13	0	103	0	10	34	0	12	151	27	0	31	0	12	0	454	0	0	42	0	0	20	16	56	57	21	75	15	40	104	40	0	91	0	444	0	0	53	0	11	0	29	485	0	0	0	40	22	14	0	57	40	29	0	0	0	0	10	0	209	0	0	36	23	21	10	18	11	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetivibrio_A|s__Acetivibrio_A_ethanolgignens	69	2367	40	33	22	60	61	122	99	72	19	69	53	58	14	544	213	78	28	0	52	44	25	59	29	10	448	134	20	45	169	37	187	907	22	109	177	33	45	51	34	128	326	59	23	38	45	147	12	18	85	92	14	0	45	31	20	44	0	62	233	36	70	99	72	87	43	83	31	248	227	23	87	117	199	75	182	184	18	58	131	238	39	82	268	76	81	105	279	370	111	50	93	54	16	352	29	233	132	57	144	77	15	44	19	201	47	66	18	60	96	45	74	22	0	10	51	21	239	27	53	55	45	443	234	166	40	17
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_faecis	892	1214	64985	1547	2471	9313	24558	530	1885	92301	75021	336	184724	560	390	368326	27822	5344	506	34	209749	6487	186373	4398	203259	104	141642	87371	3976	5293	130114	110037	620148	1222	371	100011	183404	12982	163374	1035	283008	43368	473859	970074	1508630	36562	283236	138060	6578	86872	177859	1263	1260	5048	3970	517642	805	598591	951	163079	218071	924557	20454	39829	789548	716811	477691	261614	539578	375438	107485	120117	109786	314	788435	363	1661	3757762	90492	14020	514	681490	65683	12484	1529030	57351	55316	245324	41666	39109	56863	946	9129	432842	333	52510	10006	37332	50700	81220	866147	1778083	417829	15354	87009	30633	24887	100935	3478	9475	71516	51274	54100	48701	173	185	7079	6160	169017	1111	5060	2697	79155	1889	72087	166453	424893	411
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_rectalis	447779	5655	13106	1060	428175	330903	5502	6957	831047	6447	2462	24886	650205	388801	430	12154	1114221	886	16995	20578	80124	9730	2281	496451	6374	5636	14678	27167	4405246	203167	240311	7545	896858	2512453	394290	1475170	62496	69397	87722	1878370	99993	272802	1885811	425109	527399	9571	755707	2631289	56326	19209	1996235	911128	2453	31342	1812	999990	4684	1000325	1474	4005	1354330	3284298	1007350	499417	677847	31120	210615	711017	99568	30835	448162	72299	1610762	34343	2262968	282259	7690	656366	15659	1852034	29552	105998	81591	1431749	971781	1601201	333425	745149	45501	2239649	557390	2117411	7732	5890291	6986	45990	311695	6275	1032466	876047	203115	1631601	5513	3413	3661	717505	10141	2646	193762	85442	165647	8216	1257	1536	2588	1573	4052	435	2282317	17196	1212486	471793	91121	3309073	885964	1265974	1723616	1724
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_sp000434275	333	818	469	95	450	394	180	612	990	650	668	251	1076	852	778	3408	1228	285	810	0	824	616	1139	175	1013	14	2445	876	1669	368	1004	543	4439	1456	585	4966	1433	463	1184	1367	1453	1685	3878	7075	9309	835	1273	2129	175	812	8208	501	819	1156	2126	4081	337	22810	57	671	2235	3675	506	1331	3292	4365	3463	2136	3313	5561	1361	688	1613	1717	6104	177	73	13936	839	1340	545	2477	871	1427	5502	1495	751	1732	1510	3636	4239	1277	2465	4685	0	708	827	1736	609	1007	4246	8793	1906	107	382	1041	129	451	127	129	666	925	317	352	190	108	122	164	2323	316	896	568	1182	2963	2950	1544	2569	10
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_sp900543445	43	19	31	124	229	61412	140	0	89	233	0	100	29	0	0	54	160400	6418	0	171	53	322	42	12	133	173	77	65	1195	75	5849	216	51	477	48	101	210	56323	5768	0	16	74	486	34	346	23	209	132	11	0	56	96	0	23	14	79	52	44	139	55	190	449	10	5975	129	1010	14	22	77	141	106	41	72248	0	135	11	0	237	12	16	21	203	15	95	275	244	14692	263	462	138813	3623	322	107	884	0	176	6351	39	94	156	1703	287	71	17	28	29614	40	41	30	21	57916	38	33	66	40	32	15	0	84	18	59	3852	45	354	142	36201	125461	119
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_sp900546625	7203	19	168	36	3438	6835	17	12	18010	62	25	88	6477	8781	11	105	27936	12	217	89	603	210	0	6178	33	129	171	326	78297	4590	1942	29	7743	51957	3468	29989	236	582	485	44973	456	3970	42760	1944	2856	65	4669	28797	259	57	21245	6868	29	28	24	7799	0	13785	0	65	16325	28922	18191	8052	4638	48	4260	8245	953	276	5301	774	20365	29	18218	2899	247	1511	94	41275	459	1094	1273	17589	15183	23154	3246	14000	40	46547	5497	39577	87	69383	0	29	2764	107	14216	5101	140	15124	12	0	20	11830	129	17	3538	814	1303	49	68	10	0	0	19	15	38768	209	34212	6486	451	64108	11229	9427	12871	21
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_sp900547695	1351	618	696	496	1237	1561	166	1661	3004	495	111	42	2431	2429	44	1603	5935	587	717	26	570	428	279	1253	45	1181	419	403	21011	1039	1081	1430	1342	6475	1229	4744	262	262	209	8889	364	875	4791	614	1371	959	851	3364	689	164	4159	586	1699	927	655	952	896	1545	247	539	4567	8222	957	815	1313	6850	344	3809	630	773	1612	958	3607	1496	4833	3345	1206	3649	2305	9262	607	148	1241	4964	2469	3353	821	1474	6466	15184	1542	6815	259	10493	6990	831	547	4788	3029	4075	1869	3048	1146	263	36	1271	392	918	403	101	963	112	241	88	640	162	60	570	10380	1851	5618	1747	584	5546	2221	3764	2355	163
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_sp900548765	333	33	128	177	69	186	15	93	943	223	70	41	402	190	0	72	626	66	19	0	62	14	48	391	14	0	36	501	1685	332	146	61	335	365	98	425	28	19	68	623	56	614	3109	79	3726	126	184	534	20	31	566	294	10	0	1279	734	0	226	0	74	299	941	381	89	302	178	234	68	34	78	157	91	354	182	270	168	0	765	55	1919	59	200	51	271	513	325	386	252	251	974	380	738	0	1736	12	350	69	17	37	522	168	717	49	28	19	401	16	51	24	25	90	29	15	25	0	12	15	0	468	79	1719	438	30	646694	457	429	442	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_sp900549895	47	137	61	54	0	455	32	0	0	106	33	13	108	71	0	231	1206	96	0	0	84	214	327	0	66	0	155	89	119	0	135	66	334	0	0	176	385	467	214	0	161	40	147	1123	1104	112	237	283	0	65	106	23	0	0	51	379	0	71	0	136	48	446	26	85	1005	384	675	373	566	358	111	145	680	75	779	0	0	2348	112	0	16	333	173	68	677	41	302	46	138	1456	57	33	37	164	0	152	68	42	22	68	807	882	207	17	30	367	25	63	0	0	733	64	44	38	0	14	92	0	141	0	26	72	85	22	39	411	2151	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_sp900550545	323	143	304	28	62	214	132	0	0	605	1122	16	842	371	0	1793	570	278	0	0	926	117	702	26	1098	0	540	411	5686	69	859	410	3632	82	0	1357	796	286	702	0	998	327	2752	4724	8464	199	1370	975	40	375	971	2117	0	142	79	2786	88	2517	373	720	1311	6828	103	524	3700	3496	2470	3547	538	1155	1175	509	674	455	4730	0	83	13538	489	135	460	3299	444	354	7115	351	246	1244	1358	971	511	101	160	1916	0	302	262	281	381	1150	3306	7291	1592	88	412	289	125	358	16	50	600	213	179	497	47	971	41	248	1270	24	2540	72	496	1185	413	1047	1682	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_sp900552085	131	254	907	0	58	111	626	3336	1268	6392	5110	195	2791	344	92	22959	481	519	77	0	6266	1487	14164	5496	13174	414	5556	2047	399	216	2426	4805	12309	678	368	1102	6951	270	4468	98	5987	1698	12315	28565	46961	1337	1932	1672	62	2514	2158	167	0	5080	137	7507	470	19275	0	10240	2971	8464	1532	1909	11515	37795	7838	3517	12155	15906	725	4171	18823	238	16981	739	215	122773	2357	16446	128	36486	1311	2018	39784	975	2980	4953	3856	524	6587	23065	885	6741	0	2832	1199	1529	395	894	18055	33982	35007	673	7671	523	559	7855	61	497	1349	2122	4335	2954	351	175	77	223	2786	505	633	142	1646	1106	371	4119	3676	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__An181|s__An181_sp002160325	0	0	24	0	0	0	0	51	39	0	0	0	0	0	0	312	0	0	15	0	0	0	0	0	0	411	14	12	65	0	0	39	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	20	121	0	0	328	0	0	28	0	0	0	0	0	26	63	16	0	0	0	0	0	18	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	55	55	0	29	0	0	62	361	25	0	0	293	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	147	33	0	0	0	65	0	0	182
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii	109143	22361	123835	9172	3325	18269	163181	68	584	7623	2102	6266	10354	11523	83	15557	33610	387	10188	133	21766	36040	110	22835	39651	475	6201	45853	100513	853	7242	3437	22323	6761	16401	16407	3477	7219	28689	3393	1836	12127	11796	2082	125782	316	4996	20242	397	4751	115610	9392	980	212	69056	35293	244	26881	2604	853	57177	4697	12438	22738	9340	14730	5399	722	19431	18819	41842	32433	91490	161	18473	282	3470	2665	46245	2264	2594	47308	12175	704	1588	18825	322	11928	20921	19286	20782	5541	29038	866	79	1879	1826	1137	1265	48081	584	6287	268	8299	3195	4739	3922	71	9840	36608	3627	2168	929	6451	201	7758	276	236	461	118	9054	517	173909	22795	154128	12491	91844	616
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_soehngenii	10406	588	115270	129647	9153	928	8101	21	4411	5139	32076	4848	8974	368	65	357257	1343	6471	3205	129	804	742	1452	4712	746	210	49441	4972	3489	3095	89550	78679	133720	16918	476	4445	65458	1678	1331	25294	6281	24949	27953	84103	37949	9354	2763	29927	367	27992	2572	34531	17040	80	75042	3266	36	2657	101	81	4044	8945	20493	2247	867	203	17759	15101	4811	128665	2869	8717	10357	54	1735	6327	140080	4300	3051	72678	9957	7991	941	23736	51375	1450	5307	1366	604	3775	849	698	629	16213	375	73867	14202	33126	29105	1271	8855	42293	334	157	703	346	13846	118	20180	12422	8601	228	28568	745	24	239	5314	1672	15944	229	860	19725	9738	53660	26978	780	16607	47
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_sp002161065	112	272	55	123	39	11	45	27	22	254	0	17	60	0	13	56	32	31	0	93	0	10	0	0	17	0	36	688	107	33	14	253	79	0	0	17	272	93	45	78	17	47	976	41	12	45	0	184	0	0	10	14	0	0	67	0	26	0	0	417	21	0	18	24	0	139	355	10	15	68	12	18	70	148	244	0	0	73	10	23	28	27	31	231	10	0	94	40	223	50	91	17	46	42	0	31	0	35	34	57	444	0	14	51	0	28	50	35	16	1087	19	0	39	670	15	16	75	26	28	19	60	0	81	298	103	44	86	1447
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_sp900754855	0	10	0	18	0	0	0	0	0	11	0	0	0	57	0	17	10	0	13	0	0	0	0	0	0	90	0	0	0	0	17	11	0	0	45	55	32	0	0	15	0	0	15	0	14	0	0	0	0	0	0	26	0	0	0	10	119	0	0	22	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	89	0	14	0	15	41	0	0	21	0	0	15	0	0	0	11	0	0	13	0	0	0	0	0	0	11	0	0	0	0	84	19	0	0	0	29	0	0	22	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerocolumna|s__Anaerocolumna_aminovalerica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerosacchariphilus|s__Anaerosacchariphilus_sp002160765	150	56	110	0	449	13	50	0	243	25	0	26	140	0	0	12	43	12	0	0	0	0	22	0	307	101	456	5709	0	2676	25	47	0	86	0	0	524	5425	663	0	0	1236	0	255	83	846	0	102	0	0	0	0	0	162	36	0	0	0	0	225	380	0	407	41	0	0	0	0	0	683	2838	400	124	143	0	0	453	111	0	0	0	2164	0	676	0	0	796	106	144	245	14	591	0	0	18	0	10	14	0	1424	1375	0	0	754	0	147	367	545	213	5324	56	0	18	610	0	32	7259	0	25	0	33	11	0	0	289	990	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerosacchariphilus|s__Anaerosacchariphilus_sp014290175	707	365	91	32	316	61	1968	0	0	97	59	67	185	42	0	29	77	0	0	0	0	0	0	174	111	0	65	95	0	29	709	0	125	214	0	1108	37	529	123	0	255	23	1161	30	45	63	997	607	0	0	631	46	0	0	2269	72	0	136	0	103	48	1415	21	185	27	11	10	1015	1346	61	769	46	14	0	1135	0	0	206	0	99	387	39	373	220	29	100	12	1502	1567	3553	0	889	17	12	0	0	288	11	0	0	0	33	0	11	0	112	61	0	0	206	386	210	0	17	0	10	0	0	1215	0	183	51	702	364	45	2276	2127	19
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerosacchariphilus|s__Anaerosacchariphilus_sp900066385	19899	38038	5527	1427	22724	7318	2951	494	1377	6077	8131	16296	36064	4218	466	4475	8475	1127	723	0	1128	1220	4597	13525	5441	5587	7703	4580	1874	1208	145105	3460	22714	25904	3851	25530	2638	1845	11661	221	15503	4896	5792	34421	6991	18597	7713	17206	805	1039	18514	15213	1106	2681	20099	25731	617	23903	0	10889	4746	19524	10409	7582	39594	6697	3194	35024	16768	13269	2383	26772	11087	1589	14711	1494	608	144345	8470	10699	9434	7294	8741	25798	7234	6939	5047	27977	48172	8021	2398	909	2173	1660	585	3844	41154	693	6091	15315	4368	1520	1150	15893	3537	4083	14617	1383	3835	19947	14808	24479	10223	2268	327	9951	6101	7880	24398	10439	34724	3069	25053	13365	34003	68010	50158	2904
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerosacchariphilus|s__Anaerosacchariphilus_sp900553635	3687	32627	40	0	12	6390	40	37	0	41	5147	694	53	1828	50	23	8186	0	0	34	12	24	71	466	0	0	30	383	23	20	11816	0	13474	21361	0	189	94	60	809	0	314	29	34	173	15	2086	18	896	15	0	69	2569	13	0	3184	3226	12	50	0	92	2400	1541	1640	459	1305	20	14	61	708	42	21	152	0	32	3554	0	17	16387	11	8206	184	20	509	109	2735	9084	26	6419	1812	61	226	24	42	19	0	0	618	16	0	0	0	0	0	0	0	4081	39	0	0	19	112	4818	35	40	0	76	10	56	135	0	317	0	136	4081	25	49779	5725	50
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerosacchariphilus|s__MGYG000004630	15	13	15	14	110	0	0	51	0	0	0	0	110	71	0	120	0	0	0	0	0	0	0	0	27	0	78	168	0	24	0	0	0	17	0	0	252	44	67	33	0	27	15	155	0	64	0	0	0	0	0	0	0	11	0	0	34	54	0	78	15	0	0	12	14	0	0	0	0	119	26	0	489	126	14	0	0	0	35	0	11	42	0	85	0	0	117	19	0	10	20	0	0	0	0	0	0	35	74	24	40	0	0	99	0	74	15	0	0	183	0	0	0	140	0	0	112	0	0	0	0	0	0	0	159	14	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerosporobacter|s__Anaerosporobacter_mobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae	0	167	0	2083	0	1264	1395	0	0	71	11	0	0	84	2517	6842	242	97	978	0	145	13	14	0	3179	20821	111	0	0	21	0	0	0	0	5921	0	741	0	132	84	0	666	0	0	16	0	0	24	0	0	55	0	2203	12997	0	0	23	0	0	0	0	0	0	0	0	366	816	172	0	317	0	0	165	1135	0	77	127	0	46	17189	0	0	0	0	0	0	0	0	0	0	12	0	0	533	0	1287	0	129	1960	71	190	0	532	114	17	0	297	415	1395	10	0	0	0	81	14	38	0	1602	0	6678	0	739	0	0	665	0	11	3417
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	165529	11089	64573	73508	12418	45016	101075	313	2318	2365	85638	2707	28762	4398	141240	207333	140122	17368	10048	1800	29970	301791	2784	10316	458	659895	38197	13205	1541427	1457	1040598	27441	450786	60013	155	10538	86835	3539	19148	689183	697	38402	6574	67433	341374	58874	12392	15183	367642	16505	103826	244017	84767	468847	151010	1555	325	40868	19980	91315	17771	28479	17233	8479	39917	131431	36526	68349	16712	98544	29472	22421	47665	3483	5581	9199	215613	338057	491193	3457	7186	42758	2867	44638	208891	35334	5418	23830	81025	68760	9170	15405	132307	837	1074	155236	11000	3615	82135	39016	10966	48841	217696	16613	12632	2866	15612	26470	35121	4458	6968	53165	20991	3590	199	11852	452	72120	43373	512	17874	48806	10324	406428	33149	3903	88953	32909
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus_A	1304	304	838	601	130	574	778	0	34	28	973	54	529	64	1530	3032	1805	198	87	11	395	5071	16	101	0	7893	310	206	10064	44	19858	43094	4410	414	0	291	1221	35	432	4429	15	310	111	581	4974	1278	59	226	6882	378	1101	1558	1528	4791	1993	22	14	653	308	959	226	593	171	177	329	851	249	828	27679	803	658	248	675	0	97	83	2270	4960	3923	18	2704	511	16404	542	4302	27515	94	381	1360	604	114	223	2437	0	10	2166	256	65	780	285	143	660	1864	266	237	35	209	253	340	66	88	1049	287	44	0	122	13	1258	292	0	377	427	4439	7564	861	27	1314	353
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_rhamnosivorans	0	2694	16671	18276	3267	14439	27689	561	649	816	22792	0	8828	1967	41909	53365	40664	0	3214	25447	0	76531	709	0	1316	162910	9278	2935	382431	487	0	32181	107191	17329	1208	0	20494	923	5280	151798	0	9186	2032	17625	88548	0	0	4531	90394	0	0	0	26581	115693	41243	431	2550	0	0	0	5510	8305	5048	0	0	32062	9557	0	0	22924	8289	5602	0	1088	0	1840	66266	0	0	2809	0	10653	0	0	58211	0	1293	6338	0	0	0	0	0	188	0	43656	3363	1538	20061	10334	0	13889	77323	5453	4427	705	0	8112	9685	1034	0	0	7075	0	1414	3650	126	19703	0	2417	0	14479	4162	0	0	796	0	8763
