	ERR9578157	ERR9578158	ERR9578159	ERR9578160	ERR9578164	ERR9578165	ERR9578166	ERR9578167	ERR9578168	ERR9578169	ERR9578170	ERR9578174	ERR9578175	ERR9578176	ERR9578177	ERR9578187	ERR9578188	ERR9578191	ERR9578192	ERR9578194	ERR9578195	ERR9578196	ERR9578197	ERR9578198	ERR9578200	ERR9578201	ERR9578203	ERR9578204	ERR9578205	ERR9578206	ERR9578207	ERR9578209	ERR9578211	ERR9578212	ERR9578213	ERR9578218	ERR9578219	ERR9578220	ERR9578221	ERR9578224	ERR9578225	ERR9578226	ERR9578227	ERR9578228	ERR9578231	ERR9578232	ERR9578234	ERR9578235	ERR9578236	ERR9578238	ERR9578242	ERR9578243	ERR9578244	ERR9578248	ERR9578250	ERR9578251	ERR9578253	ERR9578254	ERR9578257	ERR9578267	ERR9578268	ERR9578270	ERR9578285	ERR9578295	ERR9578301	ERR9578302	ERR9578303	ERR9578305
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__HGM12657|s__HGM12657_sp900760575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__HGM12669|s__HGM12669_sp900761935	0	687	3692	132	826	3189	0	0	77	94	546	1751	0	1536	1578	0	1109	531	309	15730	0	0	256	1489	3171	130	0	1034	20026	638	0	152	35	76	0	2171	171	23	4088	43	3230	62	567	1061	2070	208	0	326	0	198	95	496	0	5187	0	689	34	79	62	2493	0	654	93	6689	1618	1892	182	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__HGM12669|s__MGYG000001133	65	111	171	0	119	225	0	161	0	70	161	447	250	0	0	1766	274	340	206	1652	0	29	128	123	124	419	0	35	174	0	32	323	21	274	532	211	0	70	112	79	172	88	1537	165	54	0	68	62	77	0	336	0	49	390	45	851	0	111	45	2239	0	0	66	172	0	0	88	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__HGM12713|s__HGM12713_sp900754175	0	0	0	0	0	0	286	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	21533	0	0	0	0	0	0	0	0	2444	0	0	0	4629	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	109	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__HGM12713|s__HGM12713_sp900770605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__MGYG000000350|s__MGYG000000350	17	75	259	133	98	233	71	0	0	251	47	0	0	46	28	261	0	244	64	222	178	49	49	150	150	108	18	146	540	535	169	37	43	0	86	95	0	0	345	0	54	0	341	0	108	211	0	263	30	0	0	121	0	0	0	91	19	0	142	137	0	31	0	591	90	0	41	57
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__QALR01|s__MGYG000004503	0	23	0	0	0	0	0	0	33	27	0	0	0	24	0	0	16	0	0	40	0	0	0	0	334	15	0	0	38	0	0	23	0	13	21	471	0	0	0	0	0	0	14	0	118	27	0	14	19	46	0	37	0	106	0	0	87	183	17	0	0	40	0	14	47	0	0	10
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__QALR01|s__QALR01_sp900542425	0	0	59	0	21	0	0	0	70	18	12	0	186	0	23	0	65	24	0	0	0	0	0	0	17	0	0	0	281	16	0	13	25	85	74	58	0	0	20	24	0	22	40	10	24	0	25	12	0	28	13	10	0	20	0	0	128	25	0	85	0	0	0	0	18	13	114	16
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__QALR01|s__QALR01_sp900552255	0	0	0	18	0	167	0	0	0	34	24	0	0	0	22	0	0	0	17	4927	29	0	0	0	0	0	0	0	10	0	0	0	0	0	503	18665	11	36	0	0	0	0	16	0	11	12	64	16	190	0	30	0	0	2570	11	0	0	0	571	0	0	0	0	0	0	0	82	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__QALR01|s__QALR01_sp900553085	0	15	42	15	197	37842	13	29	39	202	0	94	0	81	31	0	13	6539	42	312	0	229	0	21	41	33	0	23	1756	243	0	0	0	34	104219	29	0	0	97	0	28	14	151	40	166	27	12	51	0	0	0	50	0	191	0	251	0	15	17	74	0	20	0	64	71	17	63	52
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__RUG11130|s__MGYG000000454	0	0	55	114	0	0	36	0	0	562	0	0	0	0	0	0	0	0	0	20	0	0	0	0	205	0	0	0	294	628	0	0	0	0	0	0	0	0	67	0	0	0	16	0	501	0	0	984	0	0	0	0	0	0	0	0	600	0	176	197	0	0	0	696	76	0	0	25
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UBA11512|s__UBA11512_sp003522145	22	59	14	0	4824	10122	0	0	22	61	0	0	0	48	13	0	0	0	52	9717	0	96	391	13	0	19	0	0	8040	0	0	0	0	0	194	24	0	0	19	0	85	0	60	41	9332	0	30	117	53	0	13	0	11	159	0	161	0	0	17657	16	0	0	0	1212	0	28	15	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UBA1740|s__MGYG000000352	0	0	0	0	0	187	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	188	0	0	0	0	0	0	0	0	28	0	0	0	10	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UBA1740|s__MGYG000003840	983	366	0	58	29	272	179	0	0	12	73	0	348	0	576	0	153	0	118	1836	0	1155	0	466	0	107	22	350	0	24	10	343	0	288	48	0	424	210	42	307	458	0	0	0	24	0	0	232	817	0	0	25	945	0	719	269	19	48	201	195	11	0	0	11	0	118	41	64
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UBA1740|s__MGYG000004722	16	0	34	20	14	27	0	0	0	16	14	0	21	0	64	57	57	29	34	20	0	0	18	54	27	0	76	10	0	33	34	35	33	38	24	14	0	37	24	11	11	12	41	32	30	0	0	25	14	0	55	18	33	39	0	14	0	20	21	25	0	0	0	13	12	33	0	17
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UBA1740|s__UBA1740_sp004558975	0	0	0	0	0	17007	0	0	0	6836	0	0	0	0	0	0	0	0	24	22	0	0	3633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	8867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UBA1740|s__UBA1740_sp900767415	0	0	0	0	0	14	0	0	0	20	0	11	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	13	0	110	0	11	0	565	0	20	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1002|s__UMGS1002_sp900547565	22	145	100	0	96	415	20	0	35	44	0	16	0	73	37	30	0	0	0	136	96	0	0	23	36	22	0	18	220	12	0	17	21	0	20	15	0	0	10	11	54	0	328	16	165	0	25	19	12	0	11	80	0	47	0	0	28	0	68	36	0	15	0	16	20	21	24	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1225|s__UMGS1225_sp900549725	0	0	54	0	74	156	22	0	0	230	11	45	0	0	17	0	0	0	68	140	0	0	0	23	100	1533	0	0	46	25	0	0	0	15	87	304	0	0	76	0	57	0	218	37	283	0	0	0	0	0	15	138	0	127	0	118	0	0	39	39	0	39	47	161	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1312|s__MGYG000002245	0	0	11	0	0	0	0	0	0	11762	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	36	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	1095	0	12	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1312|s__UMGS1312_sp900550625	0	0	0	0	40	2154	775	0	0	31	0	0	0	32	80	0	0	53	73	0	0	0	95	12	8299	1149	0	0	8363	1404	0	0	0	13	0	30818	0	0	448	0	26	0	14	0	34	0	0	0	64	0	10	12	0	35245	0	1340	14	37	26	466	0	0	10	153	13	289	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1696|s__MGYG000004436	0	0	14	0	88	56	12	0	0	0	0	76	0	0	47	0	0	21	32	11	0	0	11	0	33	47	0	0	14	29	0	0	0	0	288	53	0	0	94	0	0	0	6609	0	63	0	0	0	0	0	0	41	0	0	0	107	0	0	95	0	0	0	0	151	48	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1696|s__UMGS1696_sp900554225	0	0	0	915	1470	3235	581	0	0	47	0	0	0	0	13	0	0	0	3035	232	0	18	1201	0	20	2545	0	0	0	1090	0	0	0	0	2584	0	0	0	19	0	66	0	906	0	2243	0	0	557	0	0	0	1882	0	0	0	5888	0	0	798	10	0	0	0	907	1787	0	27	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1696|s__UMGS1696_sp900753285	21	2446	14663	69	4420	1553	7639	0	0	8073	4600	0	0	0	3617	18	0	0	16	117	0	6031	15	2945	57	2851	13	0	16790	57	0	0	23	0	3698	0	0	0	1750	0	4290	0	21714	19	3449	0	0	33	651	0	155	510	0	47	13	10662	0	0	2534	1889	0	0	0	1279	49	48	7178	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1696|s__UMGS1696_sp900763885	0	0	16	497	40	90	14	0	0	10	0	0	0	0	0	0	48	0	56	79	0	10	35	17	0	116	0	15	11	129	0	0	0	0	44	33	0	0	70	0	23	18	806	0	102	0	0	23	0	0	46	38	20	0	0	208	0	0	14	12	0	161	0	18	50	0	0	46
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1815|s__MGYG000004024	0	0	11	0	0	29	0	0	18	0	0	12	0	0	11	0	0	0	0	22	0	31	0	0	12	10	0	0	15	38	14	0	0	0	19	10	0	0	0	0	46	33	985	25	69	0	12	11	0	470	11	43	0	52	0	5906	12	59	16	0	0	0	0	15	12	0	47	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1815|s__MGYG000004035	129	151	316	83	247	154	108	13	21	114	746	102	237	1849	147	108	11	705	276	130	51	445	277	296	52	185	35	68	564	106	59	77	55	116	205	188	24	107	131	599	554	26	78	539	226	20	0	239	45	30	277	58	0	4656	41	248	130	95	94	553	0	137	0	216	177	128	148	105
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1815|s__UMGS1815_sp900555345	0	0	0	0	0	4643	0	0	0	1406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	154	0	0	0	0	0	11	0	15	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1865|s__MGYG000000440	0	14	0	0	0	593	206	0	0	963	0	0	0	0	0	0	0	0	153	1830	0	0	0	0	95	952	0	0	602	28	0	0	29	0	31	24	0	0	1347	0	935	0	868	0	198	0	0	0	0	0	0	50	0	1680	0	98	0	0	414	0	0	232	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1865|s__MGYG000001821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	28	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1865|s__UMGS1865_sp900547725	0	0	394	0	6868	10293	7044	0	0	20247	0	666	0	0	0	0	0	31	0	6104	0	0	19	37	5151	14183	0	0	13499	282	0	0	32	131	21	4432	0	0	2002	0	30403	0	270	72	4146	0	0	0	0	0	19	4371	0	1691	0	2948	0	1014	47	228	0	6336	0	279	10	10	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1865|s__UMGS1865_sp900555785	0	0	0	0	75	4222	1494	0	0	3778	0	0	0	0	0	0	0	0	0	1809	0	0	0	0	746	2859	0	0	2790	0	0	0	0	0	0	95	0	0	409	0	7686	0	1032	0	1006	0	0	0	0	0	0	0	0	7218	0	4738	0	0	0	0	0	1271	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS1865|s__UMGS1865_sp900768535	0	0	0	10	21	109	0	0	17	95	0	0	207	0	0	10	0	0	0	172	0	0	0	0	11	70	0	0	43	0	0	0	13	17	57	31	0	0	91	0	67	0	255	0	183	0	16	0	0	0	0	21	0	125252	0	30	0	0	50	0	0	15	0	0	43	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS2055|s__UMGS2055_sp900557635	0	0	0	12	12	18	0	0	0	13	308	0	0	0	27	0	0	0	0	0	0	14	0	0	29	22	0	24	65	0	0	0	12	14	83	44	14	0	10	0	54	41	107	16	257	0	0	0	0	0	17	0	0	58	17	438	0	0	0	0	0	0	0	86	39	14	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS731|s__UMGS731_sp900544985	0	0	0	0	0	0	15766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	14	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	14	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS874|s__UMGS874_sp900546315	0	2440	0	2429	1072	4121	884	0	0	19336	0	0	0	0	9404	0	0	563	4494	56	0	4192	179	1668	1145	2794	0	996	927	781	150	12116	1104	0	3452	0	0	139	2447	12	25	0	4588	6990	7605	0	0	28	0	0	632	610	0	0	29	2435	2554	0	1181	1977	0	2430	0	1053	4571	1419	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS902|s__MGYG000000516	0	27	36	0	69	84	23	0	0	0	0	0	14	0	17	0	58	20	26	38	0	0	23	40	72	569	0	14	12	125	0	171	0	0	48	35	0	0	83	0	31	0	99	0	69	0	0	138	17	0	0	198	0	227	0	298	29	14	523	75	0	0	0	30	20	266	0	80
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS902|s__MGYG000003839	0	0	41	10	27	85	37	0	0	140	0	0	0	0	0	0	0	0	0	120	14	0	12	0	43	20	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	16	168	0	0	106	0	0	34	65	0	67	11	17	0	0	56	35	0	0	0	107	37	0	29	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS902|s__MGYG000004098	0	96	115	27	7646	109	16	0	47	191	44	57	10	11	82	13	42	37	135	3055	0	57	45	99	133	43	41	33	757	310	31	26	175	59	308	228	12	29	71	20	150	0	250	99	84	0	24	273	93	19	50	292	0	174	19	140	16	33	127	71	0	59	0	203	176	21	134	24
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS902|s__UMGS902_sp003343845	0	0	73	0	14	1854	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	8188	56	11	22772	0	0	39	42	0	48	0	0	0	0	0	12	9517	0	15	0	18009	38	6224	0	0	0	0	0	0	11	0	0	0	83565	0	0	170	2373	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS902|s__UMGS902_sp900546635	11	12	0	10	25	105	42	17	0	105	25	23	43	0	75	1216	0	15	659	63	0	12	0	20	11	21	0	234	57	0	37	97	38	97	28	30	22	0	0	46	12	50	0	0	146	32	10	21	0	0	35	0	0	180	0	192	54	63	23	22	15	0	0	29	330	12	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS902|s__UMGS902_sp900761025	41	0	69	0	142	405	28	0	43	284	57	0	0	0	110	0	178	38	16	121	0	0	938	71	71	26889	0	0	33	1064	0	128	15	0	81	179	0	0	1214	0	223	0	2826	0	662	0	0	95	0	0	0	232	0	306	0	9726	34	0	32390	362	0	0	0	57	0	137	0	74
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS911|s__MGYG000000386	28	245	13142	116	23	529	203	0	0	19	70	57	0	291	265	0	187	191	1139	66	0	200	0	3082	4617	178	175	42	119	24	334	297	49	252	61	29	45	50	93	200	65	179	210	4609	146	0	0	186	44	0	90	387	202	28	76	153	13	0	19	4665	0	113	0	25	20	80	155	26
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS911|s__MGYG000004030	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	42	39	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	17212	0	216	0	0	0	0	0	17	0	0	0	0	46	10	0	14	10	0	0	0	0	31	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS911|s__MGYG000004353	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	195	0	0	11	0	0	0	0	0	17	0	0	0	15	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS911|s__UMGS911_sp003343545	16	12	23	0	46	158	24	16	58	13	207	12	11	0	11721	0	230	396	0	2934	0	1218	46	215	204	125	35	56	2270	398	45	470	0	61	42	0	0	31	2997	0	6701	0	135	15	6364	0	12	155	38	0	30	282	0	2359	0	25	66	16	704	88	62	1126	0	83	15013	159	2570	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS911|s__UMGS911_sp900545935	0	13	0	19	5089	158	0	0	0	11	0	0	29	0	0	0	0	0	0	0	0	31	107	0	23	21	0	0	0	22	0	0	0	0	0	4621	0	0	10	89	16	0	22	85	96	0	0	0	0	0	0	0	0	44	0	4539	0	0	0	303	0	155	32	0	0	26	0	13
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-272|g__UMGS911|s__UMGS911_sp900546695	0	30	78	315	66	41	11	0	0	162	0	0	0	14	0	0	0	0	66	24	0	0	0	0	78	5627	0	0	126	227	0	13	0	27	0	70	0	0	33	0	11	0	56	0	0	0	0	329	15	0	0	0	44	0	0	73	163	0	124	144	0	0	0	209	172	52	0	57
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__SFLA01|s__SFLA01_sp004553575	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	15	0	0	0	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	10	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UBA1206|s__MGYG000003207	70	611	3878	109	6251	4087	281	0	0	279	150	0	0	9653	614	0	0	1490	0	4915	0	238	196	142	479	450	0	0	877	3125	0	0	0	620	2781	483	0	197	2057	0	3149	0	680	3781	216	0	0	9087	0	0	7124	304	0	1370	0	196	0	482	8810	661	0	629	249	362	401	107	69	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UBA1206|s__UBA1206_sp000433115	0	23	0	0	81	189	34	0	0	57	0	0	0	96	0	0	0	78	0	471	61	19	0	0	25	173	0	0	139	0	0	0	0	0	25594	15	0	23	17161	0	107	0	82045	21	229	0	0	0	50	0	0	91	0	662	0	97	0	0	72	0	0	0	0	47	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UBA1752|s__UBA1752_sp900554405	0	0	10	0	0	23	18	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	181	0	16	0	0	13	0	0	0	0	0	31	25	0	0	11	0	10	0	60	0	38	0	0	0	0	0	0	0	0	24	0	11	0	0	12	16	0	0	0	23	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UCG-010|s__MGYG000004125	36	111	6428	0	65	33	0	54	12	234	0	24	0	7124	95	0	10	11	12	126	0	0	27	705	2021	21	27	18	16167	38	0	0	0	0	52	19	0	16	274	22	1143	0	576	124	3165	0	0	374	31	71	0	176	0	16458	0	90	59	0	119	4211	0	83	0	820	64	3994	207	16
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UCG-010|s__UCG-010_sp003150215	0	2363	1515	28	5636	1728	0	0	40	24695	0	0	10	473	11182	0	0	4938	43423	71306	0	0	1814	3188	17	0	0	910	341	9986	12	0	312	3888	2585	24922	29	25	0	0	0	0	120	13852	199	0	62	10	0	0	71	24445	23	802	0	7663	19	0	22	1997	0	142	0	60	16789	59	19815	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UCG-010|s__UCG-010_sp900754535	0	0	16	0	34	15	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	17	0	0	0	20	0	0	0	0	0	143	10	0	0	0	0	0	0	172	0	241	0	0	193	0	0	0	0	0	79	0	37	0	0	6165	0	0	0	0	21	362	82	16	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UMGS1052|s__UMGS1052_sp900548115	0	142	350	0	72	75	0	0	0	0	23	12	0	0	41	0	0	18	20	437	0	0	0	28	531	0	0	0	93	136	0	0	63	0	55	68	0	0	119	0	133	0	26	84	772	0	0	0	0	0	0	142	58	21	0	498	0	0	41	70	0	0	0	59	27	0	17	18
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UMGS1307|s__UMGS1307_sp900550505	216	79	257	85	29	118	0	308	236	496	383	205	134	72	140	54	48	53	326	152	0	89	47	106	47	56	191	0	491	78	243	90	142	32	48	132	0	54	87	230	106	96	149	0	18043	21	219	80	97	139	211	46	37	132	343	39	0	17	15	53	675	67	0	21	178	637	172	187
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UMGS1387|s__MGYG000000481	0	20	0	0	193	0	25	0	0	143	14	0	39	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	35	0	0	37	0	0	0	0	0	0	0	0	13	0	59	0	11	0	0	32	16	0	0	0	0	0	81	45	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UMGS1387|s__UMGS1387_sp900551295	0	0	0	0	5418	571	0	0	0	4305	0	0	0	0	0	0	0	0	88	0	115	53	0	0	0	0	0	0	0	0	0	30	17	0	28	0	0	0	26	0	0	0	0	0	405	0	0	0	0	0	0	21	0	18	0	0	0	0	0	0	0	0	0	16	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UMGS882|s__MGYG000004231	15	20	10	119	265	87	28	36	36	39	0	62	58	90	20	74	0	0	20	0	72	3989	12	5684	12	33	0	48	23	0	55	0	40	0	31	35	54	19	5399	12	0	10	81	28	16	20	0	30	0	0	10	0	21	83	15	22	0	39	30	432	0	3382	0	53	75	0	39	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UMGS882|s__UMGS882_sp003343885	433	60	1774	130	195	72	267	0	23	2282	359	323	0	761	4249	25	435	71	585	865	17	135	139	232	346	256	506	164	2271	135	51	57	104	265	102	104	206	101	125	151	1466	262	1300	442	3550	0	29	323	136	0	79	120	109	6910	159	52	673	293	110	227	0	0	15	326	3912	720	13990	373
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UMGS882|s__UMGS882_sp900546385	88	0	0	18	21	4247	175	0	19	55	0	0	12	0	0	0	0	148	0	0	0	0	0	0	14	40	0	18	0	0	0	0	51	0	90	0	0	0	21	0	0	0	2325	0	0	0	0	121	0	0	10	0	0	36	0	2855	0	0	69	90	0	17	0	1233	233	0	90	166
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__CAG-382|g__UMGS882|s__UMGS882_sp900757905	0	0	10	10936	20	79	2099	0	0	12838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2335	0	343	0	692	0	0	12	0	13	0	0	0	12	0	0	0	58	0	0	0	12	0	0	0	0	0	0	0	0	57	0	13	1133	5118	0	0	0	15	18	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__An92|s__An92_sp900199495	228	14	0	0	0	0	0	4032	245	0	0	0	711	0	186	0	47	0	0	0	0	0	0	0	0	0	239	0	18	0	0	187	205	118	61	0	74	0	0	114	0	692	0	364	0	0	0	0	212	31	250	0	0	0	0	0	0	0	0	0	111	0	0	0	11	504	0	166
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__An92|s__MGYG000002035	47	43	0	0	0	0	0	1265	156	0	0	0	158	48	58	0	16	14	15	0	495	0	0	0	0	0	147	79	0	0	0	321	68	29	15	0	20	0	0	46	0	209	0	103	10	36	0	0	50	0	92	0	0	0	0	0	0	0	0	0	50	0	0	0	13	194	121	43
