	ERR1912946	ERR1912949	ERR1912953	ERR1912957	ERR1912958	ERR1912961	ERR1912964	ERR1912967	ERR1912971	ERR1912972	ERR1912976	ERR1912979	ERR1912983	ERR1912986	ERR1912989	ERR1912990	ERR1912991	ERR1912994	ERR1912997	ERR1912998	ERR1913002	ERR1913006	ERR1913007	ERR1913010	ERR1913014	ERR1913017	ERR1913021	ERR1913025	ERR1913029	ERR1913032	ERR1913036	ERR1913037	ERR1913040	ERR1913044	ERR1913047	ERR1913050	ERR1913054	ERR1913057	ERR1913060	ERR1913063	ERR1913064	ERR1913069	ERR1913073	ERR1913076	ERR1913080	ERR1913084	ERR1913088	ERR1913092	ERR1913096	ERR1913100	ERR1913104	ERR1913108	ERR1913111	ERR1913115	ERR1913116	ERR1913119	ERR1913122	ERR1913126	ERR1913127
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA4871;s__UBA4871_sp900554535"	60	81	156	202	125	55	47	725	123	162	26	72	42	106	293	335	60	0	118	596	144	198	18	176	136	192	68	79	54	184	91	26	29	24	32	108	145	76	50	1492	363	841	83	533	436	570	66	77	25	135	106	30	240	603	119	425	139	73	252
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905;s__MGYG000003296"	10	10	24	0	0	0	36	25	0	15	10	0	0	35	0	432	27	7639	0	23	0	0	0	12	0	1433	0	292	20	0	22	0	0	0	0	0	15	0	0	0	10	0	0	12	0	45	66	10	0	43	0	0	0	19	0	0	0	12	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905;s__UBA5905_sp002437905"	171	293	101	32	10	29	42	173	24	84	31	79	0	44	1103	147	32	0	246	1081	27	12	0	162	0	102	51	336	69	788	57	86	12	0	26	524	161	134	0	17	69	0	22	299	43	196	278	55	33	131	41	171	166	56	21	60	0	180	42
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905;s__UBA5905_sp004558485"	0	15	0	17	0	0	0	0	0	0	0	0	0	41	31	31	0	0	85	6551	22	0	0	44	0	0	0	13	0	28	0	3598	0	0	487	0	0	13	0	0	34	11	23	0	0	0	0	0	0	0	0	0	0	0	0	32	0	12	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905;s__UBA5905_sp900549155"	16	50	0	113	0	0	35	79	0	171	0	0	12	57	116	13	0	17	168	297	0	0	0	0	0	122	61	15	31	18	0	92	0	0	0	208	0	30	0	0	1315	23	0	0	12	0	12	32	0	42	0	18	11	0	15	40	0	49	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905;s__UBA5905_sp900763035"	0	0	0	570	0	17	352	0	0	0	0	0	0	42	16	0	0	20	826	0	0	0	0	0	0	0	0	0	426	0	0	1017	0	0	1313	0	0	0	0	0	18	0	0	0	0	0	0	0	0	5164	16	0	381	0	0	0	0	289	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905;s__UBA5905_sp900764115"	80	18	34	121	141	35	40	417	340	0	0	21	84	43	101	92	11	105	69	19	48	0	0	251	0	89	77	321	78	49	35	52	0	0	32	240	32	13	0	0	99	0	14	27	41	46	40	45	0	115	26	28	12	0	12	11	10	46	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__MGYG000003510"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__UBA6857_sp900767015"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__UBA6857_sp900768075"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA7067;s__MGYG000004555"	0	0	23	0	0	14	0	0	0	10	0	0	0	0	29	21	0	0	0	12	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	52	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__MGYG000000383"	0	29	29	48	0	0	0	21	0	0	0	0	0	0	179	19	0	125	37	20	12	0	0	37	0	0	0	0	33	0	0	0	0	21	0	14	30	0	0	0	0	0	0	0	0	0	109	18	0	38	2307	0	10	790	0	13	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__MGYG000000752"	28	29	14	21	0	0	454	151	0	15	324	0	75	72	44	491	40	48	182	73	0	0	0	0	0	28	27	0	505	208	71	16	12	0	10	46	0	0	0	11	19	0	0	22	0	73	10	72	0	740	58	51	694	114	93	0	0	349	14
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__MGYG000001837"	0	0	0	0	0	0	0	0	0	16	0	0	0	0	19	0	0	0	44	0	0	0	0	16	0	56	0	0	55	11	17	2437	0	0	0	145	0	0	0	21	0	0	0	0	0	13	13	0	43	0	182	149	0	0	0	20	0	10	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__MGYG000003509"	0	15	0	0	0	0	0	24	0	93	0	0	0	0	51	15	52	0	0	24	17	0	0	33	0	35	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	19
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__MGYG000004470"	0	0	0	321	0	0	287	546	0	0	0	0	358	96	173	3979	0	45	1048	71	0	0	0	0	0	163	82	0	412	992	380	0	0	0	0	161	0	0	0	0	0	0	0	0	0	82	0	412	0	914	64	80	189	201	308	0	0	632	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__MGYG000004531"	0	26	0	0	0	0	0	14	0	26	0	0	0	0	0	0	0	0	0	0	0	19	0	26	0	0	0	0	0	0	0	0	0	0	0	954	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__MGYG000004543"	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__MGYG000004560"	96	298	328	105	299	155	32	424	0	398	63	0	34	109	560	286	269	54	75	518	217	57	0	541	0	433	34	384	237	98	98	37	0	20	0	407	92	31	0	63	90	28	16	37	17	121	84	73	75	151	79	82	154	45	16	187	123	408	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp002431945"	42	29	12	13	27	76	32	59	0	289	11	0	21	30	76	91	242	105	56	31	17	0	0	63	0	2984	26	84	52	134	22	2588	0	0	42	82	0	12	0	0	14	0	16	0	0	95	380	8579	48	275	27	0	194	113	16	29	0	1122	31
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900543215"	0	14	0	0	0	17	21	479	0	0	0	0	30	45	84	118	0	12	63	17	0	0	0	0	0	33	28	17	13	64	0	16	0	0	0	66	0	0	0	0	19	0	0	0	0	14	16	80	30	358	96	17	56	28	28	0	0	144	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900547095"	0	12	0	0	0	0	38	89	0	0	0	0	0	10	24	0	24	0	50	102	0	0	0	200	0	0	11	22	19	14	0	0	0	0	0	11	32	0	0	0	11	0	0	0	0	14	0	0	0	12	354	0	16	15	0	0	0	18	29
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900547305"	0	42	12	35	0	0	153	183	0	0	38	0	94	75	36	276	0	11	179	68	26	0	0	60	0	68	39	10	58	227	73	39	13	0	0	17	0	0	0	0	0	0	0	0	0	333	12	195	0	489	62	29	129	126	136	25	0	417	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900547445"	0	49	40	0	15	14	0	0	0	86	10	0	0	0	563	18	65	0	72	81	0	0	0	0	0	54	0	46	21	13	11	0	0	262	0	167	0	0	0	130	251	12	100	12	50	46	19	55	0	10	10	0	23	53	0	0	0	19	17
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900549055"	39	0	54	489	0	0	1545	47	0	0	0	0	954	163	741	6671	0	181	2159	308	0	0	0	0	0	110	290	0	647	1788	804	168	94	0	69	259	0	0	0	0	58	0	0	0	0	22	24	181	0	2433	19	210	627	38	1267	0	0	956	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900549755"	131	164	875	238	78	0	1797	16965	406	0	814	0	1203	5121	1766	3583	0	537	1547	1556	200	0	0	229	0	369	587	212	326	1434	512	498	161	0	115	289	433	229	0	0	0	65	73	192	193	536	0	1291	53	57903	2036	215	1452	8618	1098	0	0	11677	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900554525"	11	17	0	0	108	36	16	11	0	27	17	0	0	26	50	22	30	32	58	25	0	28	0	33	13	31	0	0	0	10	0	0	0	11	0	66	11	103	0	152	0	38	0	0	0	438	28	0	23	91	35	20	101	0	0	10	19	125	13
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900754145"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900768035"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737_sp900769375"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA945;s__UBA945_sp900549675"	0	93	157	0	32	86	0	156	38	215	0	14	26	0	476	34	0	54	50	73	40	41	0	158	24	30	131	17	104	18	28	0	0	0	0	65	27	0	0	10	36	10	11	13	0	0	283	46	0	0	148	21	23	110	53	96	23	186	44
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__MGYG000004873"	112	14	29	0	0	83	11	0	0	0	14	0	16	10	0	0	0	0	67	0	0	0	0	0	0	0	0	16	0	0	13	358	0	117	86	34	0	0	103	63	0	0	0	0	12	0	163	0	0	0	19	34	1293	45	0	0	0	26	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071_sp900541905"	0	1089	47	2103	135	64	0	63	20	37	38	143	17	188	284	51	79	13	109	119	91	4685	2424	1165	103	55	20	152	13	152	19	0	17	0	21	1822	147	0	130	59	34	1985	42	83	325	46	65	97	0	46	224	39	0	29	47	84	4040	61	174
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071_sp900542375"	0	130	0	120	5033	3342	0	0	81	1476	1781	354	0	12	17135	0	508	0	34	2018	2130	210	257	164	380	95	0	3380	0	2168	0	0	442	23	0	81	2477	0	3087	1953	224	265	1663	1628	1084	442	0	2674	0	2066	0	13	12	17	935	0	113	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071_sp900548305"	0	85	180	19	322	109	0	30	498	39	35	107	24	30	249	219	26	27	82	36	44	244	106	127	162	534	130	180	109	193	17	0	12	102	0	369	646	0	17	390	19	592	219	23	26	171	53	57	264	12	74	27	17	127	31	27	45	110	78
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1224;s__UMGS1224_sp900549775"	0	0	19	0	18	0	0	0	0	22	26	0	0	0	0	0	57	0	19	40	0	26	0	11	0	0	0	49	0	11	16	0	0	0	0	0	0	0	53	0	11	0	0	0	0	170	62	41	0	35	0	1621	11	21	0	11	0	0	15
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1279;s__MGYG000000704"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	1373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1279;s__MGYG000003947"	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1279;s__UMGS1279_sp900550315"	14	0	0	0	0	86	23	42	0	0	0	0	0	441	144	0	95	350	11	288	0	0	0	0	0	28	0	0	400	295	760	0	0	0	170	313	0	207	14	0	24	0	0	0	0	46	1421	0	0	19	0	0	128	0	0	0	0	12	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1279;s__UMGS1279_sp900761625"	0	65	0	0	28	21	0	32	0	85	0	0	0	0	78	0	0	0	25	15	0	0	0	19	0	36	0	0	0	0	0	0	0	0	0	0	0	0	89	46	0	29	0	0	0	83	17	0	0	18	16	0	0	0	0	15	0	20	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1397;s__MGYG000004146"	0	2573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1397;s__UMGS1397_sp900551425"	105	80	64	0	0	375	465	3756	0	12	94	13	56	0	16	0	0	0	33222	0	0	0	26	0	0	26	168	0	0	0	101	0	0	147	0	2715	0	0	0	0	117	67	0	0	0	212	0	163	133	0	145	0	243	19	0	22	0	0	39
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1397;s__UMGS1397_sp900761355"	11	36	33	22	0	34	0	132	0	148	16	0	19	95	211	29	23	15	74	19	13	150	0	233	66	52	88	81	12	193	15	62	11	0	0	38	46	0	0	39	60	163	23	30	32	126	56	31	0	0	54	0	24	63	14	75	35	19	85
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1474;s__UMGS1474_sp900547105"	74	0	0	0	0	84	13	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	10	10	12	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	196	18	0	0	10	0	0	0	0	15	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1474;s__UMGS1474_sp900552115"	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	26	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	117	0	26	0	0	0	0	0	0	14	0	0	0	0	139	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__MGYG000003887"	0	18	95	0	0	0	0	41	0	145	0	40	19	96	23	0	0	0	30	48	0	0	0	0	0	25	0	79	14	23	44	10	0	50	0	0	0	44	0	0	0	33	0	0	0	0	199	106	0	36	160	0	227	0	115	43	0	10	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__MGYG000004049"	0	0	0	0	0	23	0	0	0	0	0	0	0	22	199	0	0	0	30	14	0	0	0	32	0	0	38	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	147	0	13	0	133	16	0	18	0	0	72	22	0	442	0	19	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__MGYG000004131"	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	23	0	8513	0	378	0	0	0	0	0	0	0	30	0	0	0	0	51	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__UMGS1484_sp900552285"	0	0	304	0	0	0	358	4429	0	0	0	0	0	495	35	0	11	0	0	674	0	30	0	0	0	1122	299	0	245	0	21	298	0	0	0	0	0	110	0	0	14	0	23	0	0	0	311	708	0	28	0	0	1095	0	189	0	0	714	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__UMGS1484_sp902388225"	641	0	0	0	0	0	0	114	0	0	0	0	3548	0	8835	176	0	0	0	36	87	0	0	5925	18	44	0	0	0	312	0	0	0	0	93	13	0	0	0	0	2693	0	14	0	0	41	0	0	0	276	497	101	38	34	0	459	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1487;s__UMGS1487_sp900552225"	13	16	67	238	0	0	13	71	0	19	0	95	0	0	38	102	622	148	479	0	0	0	11	0	0	206	31	669	36	31	14	953	58	0	12	0	47	0	0	77	43	0	103	97	33	0	0	273	68	18	0	0	1063	0	29	55	0	121	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1491;s__MGYG000001801"	0	0	16	0	0	11	0	17	0	56	0	0	0	10	43	0	0	0	0	73	18	0	0	26	0	19	80	0	0	47	20	0	0	0	0	12	0	0	13	506	56	11	0	0	74	0	104	36	13	14	83	11	224	54	0	0	0	0	195
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1491;s__MGYG000003453"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	11	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1491;s__MGYG000004496"	0	0	21	0	0	53	0	0	27	54	0	15	0	0	0	0	0	0	0	217	0	245	28	0	12	0	46	35	0	14	0	12	0	111	0	0	0	0	70	0	0	34	10	0	31	49	22	24	0	0	30	0	0	503	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1491;s__UMGS1491_sp900552265"	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	268	28	23	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	13	36	0	0	0	0	0	0	0	0	10	0	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1491;s__UMGS1491_sp900757335"	0	0	31	19	32	982	30	0	0	74	11	0	0	0	103	15	14	0	59	0	108	61	0	18	0	63	91	0	18	22	0	16	0	36	0	0	0	0	0	272	44	44	0	0	19	62	37	41	0	0	23	24	17	13	114	25	0	93	14
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1532;s__UMGS1532_sp900552605"	321	23	80	28	60	367	60	294	3338	288	489	0	42	193	215	40	36655	16	1855	81	74	8586	1273	190	797	22	482	25	202	266	647	118	47	541	243	629	17	123	356	101	63	450	304	1044	354	207	98	136	523	186	85	51	125	400	512	137	1291	47	1552
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1591;s__MGYG000002694"	28	5673	447	452	196	702	68	244	25	1613	197	119	128	743	877	944	604	16	656	186	0	75	13	1305	360	660	1157	1541	26	2056	171	61	34	36	58	2582	1616	175	136	1547	520	2347	220	39	1233	3370	447	272	211	600	757	119	688	225	300	232	87	51	3729
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1591;s__MGYG000003211"	78	7963	3456	1522	210	4151	386	136	16	2179	536	2538	230	398	2309	430	740	0	344	425	78	0	0	783	336	1369	216	1370	456	294	224	3570	470	17	1136	2152	704	673	0	2631	553	2651	1228	32	1945	1886	1393	590	4204	206	6957	28	264	344	313	283	2920	0	7079
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1591;s__MGYG000004075"	219	0	36	16	31	77	35	4686	0	86	710	618	19	27	323	141	82	42	53	11	0	0	0	24	199	146	233	523	46	291	10	79	41	26	0	164	24	0	22	12	162	305	1269	0	102	949	257	34	84	50	144	10	14	20	71	15	0	3031	84
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1591;s__MGYG000004116"	25	260	503	200	263	420	96	264	0	2660	742	608	428	433	542	145	557	47	1748	33	279	0	0	742	179	278	93	1197	3017	74	0	4998	37	79	109	1329	1435	143	15	116	213	170	2200	270	56	1131	2365	31	106	430	36	221	3130	17	20	65	33	32	321
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1591;s__UMGS1591_sp900553255"	0	61	66	83	0	21	198	97	0	38	0	31	58	31	940	81	0	0	40	0	0	23	0	46	80	21	0	135	26	0	0	690	0	0	0	160	29	46	12	26	2424	85	18	0	15	1117	3829	176	17	11	26	10	45	0	0	13	10	33	144
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__MGYG000000388"	0	24	0	0	0	11	0	0	0	16	0	0	0	21	0	13	11	65	19	0	0	0	0	17	0	0	331	0	0	0	0	0	0	0	0	18	11	0	25	0	39	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	73
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__MGYG000002697"	0	363	1559	5692	537	2547	159	79	18	58	10	1888	1112	9959	2381	22	681	0	145	593	0	0	0	2196	460	1938	1854	0	12	908	614	18	72	10	3459	3449	2512	1504	13	32	1527	1199	0	20	353	11645	16	409	1346	489	13	269	1031	0	1268	1443	11	0	25688
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__MGYG000004076"	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	10	0	14	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	20
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__MGYG000004159"	2159	1453	362	56	60	0	29	0	0	0	769	0	0	46	1062	22	0	244	24	128	11	0	0	135	10	23	54	0	190	424	0	556	0	0	44	116	0	36	0	0	2286	14	44	11	0	38	55	0	0	19	0	0	0	0	0	10	27	0	16
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__UMGS1623_sp900553525"	21	194	47	95	18	74	10	58	0	108	33	22	19	65	119	31	33	0	104	52	0	41	0	49	18	153	13	40	10	0	14	18	0	13	10	57	19	18	0	139	51	232	583	10	85	440	35	71	48	0	53	0	0	24	18	104	53	0	99
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1690;s__MGYG000004032"	0	51	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	40	0	0	13	0	0	0	0	0	0	10	0	0	0	0	0	0	0	14
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1690;s__UMGS1690_sp900554165"	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	19	0	13	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	55	0	0	0	0	10	0	0	0	0	0	0	11	0	0	0	0
"k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS172;s__UMGS172_sp900539855"	535	80	0	44	0	142	35	157	0	175	0	103	46	1255	1391	1280	0	316	68	52	239	0	0	267	0	239	85	51	127	542	46	45	0	0	0	245	0	43	21	0	148	0	54	35	242	0	542	197	218	15519	1277	140	420	387	39	51	0	224	88
